time,mag
2452811.48710648,0.05333608423352354
2452811.49065972,0.0988040354912707
2452811.49420139,0.073371351365072
2452811.49774306,0.04364757806564734
2452811.5012963,0.04513522696697425
2452811.50483796,0.061399148485000055
2452811.50837963,-0.0036810232649338026
2452811.5119213,0.05441181959460395
2452811.51546296,0.026915168875722983
2452811.51900463,0.042095728266527965
2452811.5225463,0.04846978717283568
2452811.52609954,0.014447742394979368
2452811.5296412,0.0001984504659700015
2452811.53318287,0.0110050913487314
2452811.53672454,0.02852516515375214
2452811.5402662,-0.016687412774103683
2452811.54380787,0.01637369955851664
2452811.54734954,-0.02116818028201517
2452811.5508912,-0.019187469726560602
2452811.55444444,0.0008598649776245804
2452811.55798611,-0.030757501473329674
2452811.56152778,-0.02120816454847274
2452811.56508102,-0.03537023635585412
2452811.56862269,-0.0026162089101935404
2452811.57216435,-0.0013683864483073904
2452811.57570602,0.018525501607497663
2452811.57925926,0.014883558252935636
2452811.58280093,-0.04463323878883063
2452811.58634259,-0.03859044920066257
2452811.58988426,0.0016493001152551034
2452811.59342593,0.005681499689605962
2452811.59696759,0.01767241449184631
2452811.60050926,-0.0261790315217465
2452812.37060185,-0.11086540393682709
2452812.37409722,-0.07604383354362398
2452812.37758102,-0.066849924284893
2452812.38106481,-0.07542543151708325
2452812.38456019,-0.09528629798188026
2452812.38804398,-0.08402943709093424
2452812.39152778,-0.08471119991271081
2452812.39501157,-0.05179905285139341
2452812.39849537,-0.1114028572830521
2452812.40546296,-0.09384318580860529
2452812.40894676,-0.11972541328487818
2452812.41244213,-0.09137363426708256
2452812.41592593,-0.060921015249097765
2452812.4194213,-0.11318179575212683
2452812.42290509,-0.07812622850904605
2452812.42638889,-0.08560291731302128
2452812.42987269,-0.07103763018778286
2452812.43335648,-0.086644090123015
2452812.43684028,-0.06441788836250684
2452812.44032407,-0.04462282754744695
2452812.44380787,-0.09128154445926717
2452812.44730324,-0.09387206277734128
2452812.45078704,-0.09371345673080445
2452812.45427083,-0.03271800778680367
2452812.45775463,-0.07662056278843243
2452812.46123843,-0.05524860763550565
